Aheu 500 Definitelyendangered
Sanenyo 1300 Criticallyendangered
Tolomako 450 Definitelyendangered
Kim 20 Criticallyendangered
Waru 300 Definitelyendangered
Jarawára 180 Vulnerable
Erokwanas 200 Vulnerable
Tipai (Mexico) 184 Severelyendangered
Sapé 50 Criticallyendangered
Aleut (Western, Commander Islands) 5 Criticallyendangered
Katawixi 10 Criticallyendangered
Wali 487 Criticallyendangered
As 230 Vulnerable
Negidal 147 Criticallyendangered
Drubea 946 Vulnerable
Bai 2500 Definitelyendangered
Kulun 0 Extinct
Qwarenya 0 Extinct
Togoyo 0 Extinct
Tipai (United States of America) 40 Severelyendangered
Mountain Guarijío 696 Vulnerable
Moraori 50 Severelyendangered
Miskito (Honduras) 25000 Vulnerable
Baras 200 Severelyendangered
Resígaro 5 Criticallyendangered
Jaya 2200 Severelyendangered
Arabela 50 Severelyendangered
O'odham (Akimel) 15000 Definitelyendangered
Southern Altay 50000 Definitelyendangered
Pipil 200 Criticallyendangered
Eastern Mari 414211 Definitelyendangered
Simi 104000 Vulnerable
Yaaku 0 Extinct
Jamamadí 800 Vulnerable
Bharmauri 3976 Definitelyendangered
Crimean Tatar (Dobruja) 20000 Severelyendangered
Kayabi 1000 Vulnerable
Zeme 34000 Vulnerable
Kaiep 250 Vulnerable
Bunun 10000 Vulnerable
Antakirinya 200 Definitelyendangered
Sierra Popoluca 28700 Vulnerable
Bundjalung 20 Severelyendangered
Tingal 8000 Definitelyendangered
Yukpa 3000 Vulnerable
Lorediakarkar 10 Criticallyendangered
Moose Cree 405 Vulnerable
Arha 50 Criticallyendangered
Moose Cree 405 Vulnerable
Badala 0 Criticallyendangered
Romansh 35095 Definitelyendangered
Samre 120 Criticallyendangered
Tabasco Náhuatl 434 Criticallyendangered
Lardil 10 Criticallyendangered
May 1000 Definitelyendangered
Tsakonian 300 Criticallyendangered
Ava-Canoeiro 16 Criticallyendangered
Antoniano 0 Extinct
Sanema (Brazil) 462 Vulnerable
Mulam 30000 Vulnerable
Makurap 50 Severelyendangered
Rama 30 Criticallyendangered
Tialo 30000 Vulnerable
Massep 25 Criticallyendangered
Thao 10 Criticallyendangered
Inuinnaqtun 890 Definitelyendangered
Jarawára 180 Vulnerable
Washo 24 Severelyendangered
Konkow 3 Criticallyendangered
Tamazight (Ait Rouadi) 1637 Extinct
Lemerig 2 Criticallyendangered
Saryg Yugur 4600 Severelyendangered
Breton 250000 Severelyendangered
Yasa 2401 Definitelyendangered
Sipakapense 5687 Definitelyendangered
Dhimal 20000 Severelyendangered
Ari 80 Severelyendangered
Gurdu-Mbaaru 15000 Severelyendangered
Waima'a 3000 Definitelyendangered
Kapingamarangi 3000 Severelyendangered
Kickapoo (Oklahoma) 400 Severelyendangered
Nootka 185 Severelyendangered
Tewa (Arizona) 1600 Definitelyendangered
Likum 100 Definitelyendangered
Ashaninka (Brazil) 813 Vulnerable
Karaim (Western Ukraine) 6 Criticallyendangered
Chatino of the western lowlands 2640 Definitelyendangered
Tetserret 40000 Severelyendangered
Tanema 4 Criticallyendangered
Naueti 1000 Vulnerable
Warapu 300 Severelyendangered
Miskito (Nicaragua) 100000 Vulnerable
Nakkara 50 Severelyendangered
Tench 49 Criticallyendangered
Cha'palaa 4000 Definitelyendangered
Padoe 5000 Vulnerable
Laji 250 Criticallyendangered
Eastern Abenaki 0 Extinct
Vumbu 2460 Definitelyendangered
Sinkiang Dagur 4000 Definitelyendangered
She 1000 Criticallyendangered
North Alaskan Inupiaq (Kotzebue Sound) 2144 Severelyendangered
Mozarabic 0 Extinct
Northern Cuicatec 1503 Vulnerable
Odut 0 Extinct
Kawaiisu 10 Criticallyendangered
Chontal Tabasco 36514 Severelyendangered
Barbareño 0 Extinct
Judeo-Berber (Morocco) 0 Extinct
Lule Saami 2000 Severelyendangered
Churahi 61199 Definitelyendangered
Huehuetla Tepehua 1603 Definitelyendangered
Na 350 Criticallyendangered
Koro 160 Definitelyendangered
Mam (Guatemala) 477717 Vulnerable
Santa 360000 Vulnerable
